Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 1.20, 1.23, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
BM_gemm_blas/3/3/3_mean                                228 ns          228 ns            5
BM_gemm_blas/3/3/3_median                              227 ns          227 ns            5
BM_gemm_blas/3/3/3_stddev                             1.65 ns         1.65 ns            5
BM_gemm_blas/5/5/5_mean                                261 ns          261 ns            5
BM_gemm_blas/5/5/5_median                              261 ns          261 ns            5
BM_gemm_blas/5/5/5_stddev                             2.43 ns         2.41 ns            5
BM_gemm_blas/10/10/10_mean                             337 ns          336 ns            5
BM_gemm_blas/10/10/10_median                           337 ns          337 ns            5
BM_gemm_blas/10/10/10_stddev                          5.76 ns         5.74 ns            5
BM_gemm_blas/20/20/20_mean                             823 ns          823 ns            5
BM_gemm_blas/20/20/20_median                           826 ns          825 ns            5
BM_gemm_blas/20/20/20_stddev                          7.05 ns         7.02 ns            5
BM_gemm_blas/30/30/30_mean                            1914 ns         1912 ns            5
BM_gemm_blas/30/30/30_median                          1916 ns         1915 ns            5
BM_gemm_blas/30/30/30_stddev                          15.6 ns         15.5 ns            5
