2019-09-19 15:44:25
Running ./bench
Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 1.20, 1.23, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
BM_gemm_blas/2/2/2_stddev                            0.621 ns        0.611 ns            5
BM_gemm_blas/3/3/3_mean                                230 ns          230 ns            5
BM_gemm_blas/3/3/3_median                              230 ns          230 ns            5
BM_gemm_blas/3/3/3_stddev                            0.478 ns        0.472 ns            5
BM_gemm_blas/5/5/5_mean                                245 ns          245 ns            5
BM_gemm_blas/5/5/5_median                              245 ns          244 ns            5
BM_gemm_blas/5/5/5_stddev                             1.04 ns         1.03 ns            5
BM_gemm_blas/10/10/10_mean                             352 ns          352 ns            5
BM_gemm_blas/10/10/10_median                           352 ns          352 ns            5
BM_gemm_blas/10/10/10_stddev                          1.45 ns         1.44 ns            5
BM_gemm_blas/20/20/20_mean                             792 ns          792 ns            5
BM_gemm_blas/20/20/20_median                           792 ns          792 ns            5
BM_gemm_blas/20/20/20_stddev                          2.23 ns         2.21 ns            5
BM_gemm_blas/30/30/30_mean                            1773 ns         1772 ns            5
BM_gemm_blas/30/30/30_median                          1775 ns         1773 ns            5
BM_gemm_blas/30/30/30_stddev                          6.13 ns         6.05 ns            5
