Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 2.68, 2.29, 1.84
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
BM_gemm_blas/3/3/3_mean                                233 ns          233 ns            5
BM_gemm_blas/3/3/3_median                              233 ns          233 ns            5
BM_gemm_blas/3/3/3_stddev                             2.42 ns         2.42 ns            5
BM_gemm_blas/5/5/5_mean                                244 ns          244 ns            5
BM_gemm_blas/5/5/5_median                              244 ns          244 ns            5
BM_gemm_blas/5/5/5_stddev                            0.988 ns        0.934 ns            5
BM_gemm_blas/10/10/10_mean                             330 ns          330 ns            5
BM_gemm_blas/10/10/10_median                           330 ns          329 ns            5
BM_gemm_blas/10/10/10_stddev                          3.95 ns         3.94 ns            5
BM_gemm_blas/20/20/20_mean                             821 ns          821 ns            5
BM_gemm_blas/20/20/20_median                           821 ns          820 ns            5
BM_gemm_blas/20/20/20_stddev                          9.70 ns         9.66 ns            5
BM_gemm_blas/30/30/30_mean                            1919 ns         1918 ns            5
BM_gemm_blas/30/30/30_median                          1906 ns         1905 ns            5
BM_gemm_blas/30/30/30_stddev                          36.0 ns         35.8 ns            5
